title,description,duration_seconds,release_date,guest,comedian,comedian_sub,comic,comic_sub,phd,phd_sub,actor,actor_sub,writer,writer_sub,author,author_sub,ufc,ufc_sub,musician,musician_sub,artist,artist_sub,founder,founder_sub,youtuber,youtuber_sub,podcast,podcast_sub,ceo,ceo_sub,philanthropist,philanthropist_sub,singer/songwriter,singer/songwriter_sub,screenwriter,screenwriter_sub,scientist,scientist_sub,co-host,co-host_sub,journalist,journalist_sub,entrepreneur,entrepreneur_sub,astrophysicist,astrophysicist_sub,politician,politician_sub,pilot,pilot_sub
#1970 - Bill Ottman,"Bill Ottman is founder of Minds, an open source and decentralized social network focused on civil dialogue and Internet freedom. Attend Minds Fest on April 15 at Vulcan Gas Company in Austin.minds.com",172.82,2023-04-13,Bill Ottman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1969 - Sam Tallent,"Sam Tallent is a stand-up comic, writer, and actor. He is one of the hosts of the ""Chubby Behemoth"" podcast, and author of the novel ""Running the Light."" www.samtallent.com",179.95,2023-04-12,Sam Tallent,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1968 - Jason Everman,"Jason Everman is a musician and military veteran. Prior to his service as a US Army Ranger and Green Beret, Everman was a guitarist in Soundgarden and Nirvana. Learn more about Team Supernautiloid and Race to Alaska 2023 at www.supernautiloid.com.",155.79,2023-04-11,Jason Everman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRE MMA Show #138 with Cory Sandhagen,"Joe is joined by Cory Sandhagen, a professional mixed martial artist competing in the UFC's Bantamweight division. ",163.61,2023-04-07,Cory Sandhagen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1967 - Mike Vecchione,"Mike Vecchione is a stand-up comic and actor. Check out his new special, “The Attractives”, on Youtube.  https://mikevecchione.com/",161.24,2023-04-06,Mike Vecchione,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1966 - Big Jay Oakerson & Ari Shaffir,"Big Jay Oakerson is a stand-up comic, on-air personality, and podcaster. He's a host of ""The Legion of Skanks"", ""SDR Show"", and ""The Bonfire"" podcasts, and has a new comedy special, ""Dog Belly"", premiering April 5 on YouTube. www.bigjaycomedy.com Ari Shaffir is a stand-up comic and the host of ""The Skeptic Tank"" and ""You Be Trippin'"" podcasts. His latest special, ""Ari Shaffir: Jew,"" is available now via YouTube.www.arishaffir.com",202.04,2023-04-05,Big Jay Oakerson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1965 - David Choe,"David Choe is an artist, entrepreneur, traveler, and host of the FX series ""The Choe Show."" Look for him in the new Netflix series ""Beef"", premiering on April 6.www.Davidchoe.com",197.53,2023-04-04,David Choe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
#1964 - Rick Doblin,"Rick Doblin, Ph.D., is the Founder in 1986 and President of the Multidisciplinary Association for Psychedelic Studies (MAPS), a nonprofit that wholly owns its pharmaceutical arm, MAPS Public Benefit Corporation (PBC), which has completed two highly successful Phase 3 studies of MDMA-assisted therapy for PTSD. MAPS PBC stands at a crossroads between obtaining the additional resources it needs from philanthropy, ensuring public benefit is foremost, or becoming a publicly traded company.  maps.org",169.34,2023-03-31,Rick Doblin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1963 - Michael Shellenberger,"Michael Shellenberger is the best-selling author of “Apocalypse Never” and “San Fransicko."" He is a journalist and founder of Public, a Substack publication. Michael is a Time Magazine Hero of the Environment and Green Book Award winner. He is also founder and president of Environmental Progress, a research organization that incubates ideas, leaders, and movementsmichaelshellenberger.substack.com",168.16,2023-03-30,Michael Shellenberger,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
#1962 - Eddie Huang,"Eddie Huang is an author, chef, restaurateur, producer, and former attorney. He's the author of the memoir ""Fresh Off the Boat"", which inspired the ABC sitcom of the same name, director of the 2021 film ""Boogie,"" and co-host of the ""Separate Bedrooms"" podcast. https://podcasts.apple.com/us/podcast/separate-bedrooms/id1677706318",199.58,2023-03-29,Eddie Huang,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1961 - Peter Attia,"Peter Attia, M.D., is a physician specializing in the science of longevity and optimal performance. He is the founder of Early Medical, host of ""The Drive"" podcast, and author, along with Bill Gifford, of ""Outlive: The Science & Art of Longevity.""www.peterattiamd.com",167.18,2023-03-28,Peter Attia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1960 - Andrew Schulz,"Andrew Schulz is a stand-up comic, actor, and podcaster. He's the host of the ""Flagrant 2"" podcast with Akaash Singh, and the ""Brilliant Idiots"" podcast with Charlamagne Tha God. His latest special, ""Infamous"", is available on YouTube. http://www.theandrewschulz.com/",171.75,2023-03-24,Andrew Schulz,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1959 - David Buss,"David Buss, PhD, is a founding figure in the field of evolutionary psychology, and a professor at the University of Texas at Austin. His primary research focuses are on human mating strategies, conflict between the sexes, and the psychology of prestige, status, and reputation. He is the author of several books, among them ""The Evolution of Desire: Strategies of Human Mating"", and ""When Men Behave Badly: The Hidden Roots of Sexual Deception, Harassment, and Assault"". www.davidbuss.com",153.48,2023-03-23,David Buss,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRE MMA Show #137 with Jorge Masvidal,"Joe sits down with Jorge Masvidal, a mixed martial artist currently competing in the welterweight division for the Ultimate Fighting Championship. www.ufc.com/athlete/jorge-masvidal",173.45,2023-03-22,Jorge Masvidal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1958 - Andrew Huberman,"Andrew Huberman, PhD, is a neuroscientist and tenured professor at Stanford University’s School of Medicine. Andrew is also the host of the Huberman Lab podcast, which aims to help viewers and listeners improve their health with science and science-based tools. New episodes air every Monday on YouTube and all podcast platforms. www.hubermanlab.com",166.94,2023-03-21,Andrew Huberman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
